Team,BAL,BOS,CHW,CLE,DET,HOU,KC,LAA,MIN,NYY,OAK,SEA,TB,TEX,TOR
BAL,--,11-8,5-1,3-4,1-5,4-3,3-4,4-2,4-3,13-6,2-4,5-2,12-7,6-1,11-8
BOS,8-11,--,4-3,2-5,1-5,4-3,6-1,2-5,4-2,7-12,3-4,1-5,9-10,4-2,7-12
CHW,1-5,3-4,--,9-10,9-10,3-3,6-13,1-5,9-10,2-5,4-3,3-4,5-2,2-4,5-2
CLE,4-3,5-2,10-9,--,8-11,5-2,10-9,2-5,11-8,4-3,2-4,2-4,4-2,6-1,2-4
DET,5-1,5-1,10-9,11-8,--,4-3,13-6,3-4,9-10,3-4,5-2,2-4,3-4,4-3,1-5
HOU,3-4,3-4,3-3,2-5,3-4,--,3-3,7-12,3-3,4-2,8-11,9-10,2-5,11-8,4-3
KC,4-3,1-6,13-6,9-10,6-13,3-3,--,3-3,11-8,4-3,5-2,2-5,4-2,5-1,4-3
LAA,2-4,5-2,5-1,5-2,4-3,12-7,3-3,--,7-0,2-4,10-9,7-12,5-2,14-5,5-2
MIN,3-4,2-4,10-9,8-11,10-9,3-3,8-11,0-7,--,3-4,1-6,5-2,2-4,2-5,4-2
NYY,6-13,12-7,5-2,3-4,4-3,2-4,3-4,4-2,4-3,--,2-4,3-3,8-11,4-3,11-8
OAK,4-2,4-3,3-4,4-2,2-5,11-8,2-5,9-10,6-1,4-2,--,9-10,4-2,9-10,4-3
SEA,2-5,5-1,4-3,4-2,4-2,10-9,5-2,12-7,2-5,3-3,10-9,--,4-3,9-10,4-3
TB,7-12,10-9,2-5,2-4,4-3,5-2,2-4,2-5,4-2,11-8,2-4,3-4,--,5-2,8-11
TEX,1-6,2-4,4-2,1-6,3-4,8-11,1-5,5-14,5-2,3-4,10-9,10-9,2-5,--,2-4
TOR,8-11,12-7,2-5,4-2,5-1,3-4,3-4,2-5,2-4,8-11,3-4,3-4,11-8,4-2,--
